end,ertt,lHat,samplertt,controlRate,throughput,retransmits,cwnd,mss,txPort,rxPort
"-1 day, 23:59:56.744204",70.28,70.267630142831948,69.89500000000005,4.1390123920357773,1011531.024,-1,9098,8948,34977,5383
"-1 day, 23:59:56.728569",70.259,70.263315064374055,70.112,4.2516830764135252,1011531.024,-1,9098,8948,34977,5383
"-1 day, 23:59:56.712547",70.273,70.26815752793263,70.37099999999997,4.2517134090711917,1011531.024,-1,9098,8948,34977,5383
"-1 day, 23:59:56.696757",70.313,70.290579084967789,70.59300000000005,4.0920027200120126,1011531.024,-1,9098,8948,34977,5383
"-1 day, 23:59:56.678988",70.295,70.292789552237892,70.169,4.1434149896244152,0.0,-1,9098,8948,34977,5383
"-1 day, 23:59:56.663149",70.316,70.304394865153427,70.46300000000001,4.1470705105678762,0.0,-1,9098,8948,34977,5383
"-1 day, 23:59:56.647185",70.254,70.279197851132096,69.82000000000002,4.1156671847944235,0.0,-1,9098,8948,34977,5383
"-1 day, 23:59:56.630957",70.077,70.17810569149502,68.83799999999995,4.057774242242421,0.0,-1,9098,8948,34977,5383
"-1 day, 23:59:56.615239",70.192,70.185052911506148,70.99699999999996,4.0643242958402839,0.0,-1,9098,8948,34977,5383
"-1 day, 23:59:56.599680",70.285,70.235028137922399,70.93600000000002,4.1325059953023944,0.0,-1,9098,8948,34977,5383
"-1 day, 23:59:56.583635",70.279,70.257014379163991,70.237,4.2517650923065773,0.0,-1,9098,8948,34977,5383
